Role,Options Chosen
Role1,"{
  ""Adaption options"": [
    {
      ""option"": ""Current Traditional CIP Costs"",
      ""cost"": 2252400,
      ""justification"": ""Widening the channel and reducing velocities in Martinez Creek to protect single-family homes from flooding.""
    },
    {
      ""option"": ""Infiltration Policy Cost"",
      ""cost"": 50000,
      ""justification"": ""Implementing a policy for stormwater management to enhance groundwater recharge.""
    },
    {
      ""option"": ""Freeboard Policy Cost"",
      ""cost"": 50000,
      ""justification"": ""Adopting a floodplain ordinance to protect structures in the floodplain.""
    },
    {
      ""option"": ""Current Buyouts"",
      ""cost"": 6802010,
      ""justification"": ""Buying out properties in the floodplain to reduce flood risk.""
    },
    {
      ""option"": ""Picnic Area"",
      ""cost"": 4000,
      ""justification"": ""Creating multi-use green space for recreation to improve community quality of life.""
    }
  ],
  ""Budget Spent"": {
    ""Current Traditional CIP Costs"": 2252400,
    ""Infiltration Policy Cost"": 50000,
    ""Freeboard Policy Cost"": 50000,
    ""Current Buyouts"": 6802010,
    ""Picnic Area"": 4000,
    ""Total Budget Spent"": 9053460
  },
  ""Budget Remaining"": {
    ""Total Budget"": 15000000,
    ""Budget Used"": 9053460,
    ""Remaining Budget"": 5946540
  }
}"
Role2,"{
  ""Adaption options"": [
    {
      ""option"": ""Current Traditional CIP Costs"",
      ""cost"": 2252400,
      ""justification"": ""Widening the channel and reducing velocities in Martinez Creek to protect single-family homes from flooding.""
    },
    {
      ""option"": ""Infiltration Policy Cost"",
      ""cost"": 50000,
      ""justification"": ""Implementing a policy for stormwater management to enhance groundwater recharge.""
    },
    {
      ""option"": ""Freeboard Policy Cost"",
      ""cost"": 50000,
      ""justification"": ""Adopting a floodplain ordinance to protect structures in the floodplain.""
    },
    {
      ""option"": ""Current Buyouts"",
      ""cost"": 6802010,
      ""justification"": ""Buying out properties in the floodplain to reduce flood risk.""
    },
    {
      ""option"": ""Picnic Area"",
      ""cost"": 4000,
      ""justification"": ""Creating multi-use green space for recreation to improve community quality of life.""
    }
  ],
  ""Budget Spent"": {
    ""Current Traditional CIP Costs"": 2252400,
    ""Infiltration Policy Cost"": 50000,
    ""Freeboard Policy Cost"": 50000,
    ""Current Buyouts"": 6802010,
    ""Picnic Area"": 4000,
    ""Total Budget Spent"": 9053460
  },
  ""Budget Remaining"": {
    ""Total Budget"": 15000000,
    ""Budget Used"": 9053460,
    ""Remaining Budget"": 5946540
  }
}"
Role3,"{
  ""Adaption options"": [
    {
      ""option"": ""Current Traditional CIP Costs"",
      ""cost"": 2252400,
      ""justification"": ""Widening the channel and reducing velocities in Martinez Creek to protect single-family homes from flooding.""
    },
    {
      ""option"": ""Infiltration Policy Cost"",
      ""cost"": 50000,
      ""justification"": ""Implementing a policy for stormwater management to enhance groundwater recharge.""
    },
    {
      ""option"": ""Freeboard Policy Cost"",
      ""cost"": 50000,
      ""justification"": ""Adopting a floodplain ordinance to protect structures in the floodplain.""
    },
    {
      ""option"": ""Current Buyouts"",
      ""cost"": 6802010,
      ""justification"": ""Buying out properties in the floodplain to reduce flood risk.""
    },
    {
      ""option"": ""Picnic Area"",
      ""cost"": 4000,
      ""justification"": ""Creating multi-use green space for recreation to improve community quality of life.""
    }
  ],
  ""Budget Spent"": {
    ""Current Traditional CIP Costs"": 2252400,
    ""Infiltration Policy Cost"": 50000,
    ""Freeboard Policy Cost"": 50000,
    ""Current Buyouts"": 6802010,
    ""Picnic Area"": 4000,
    ""Total Budget Spent"": 9053460
  },
  ""Budget Remaining"": {
    ""Total Budget"": 15000000,
    ""Budget Used"": 9053460,
    ""Remaining Budget"": 5946540
  }
}"
Role4,"{
  ""Adaption options"": [
    {
      ""option"": ""Traditional CIP Costs"",
      ""cost"": 2252400,
      ""justification"": ""Channel modification to widen the channel and reduce velocities."",
      ""description"": ""Removal and replacement of bridges.""
    },
    {
      ""option"": ""Infiltration Policy"",
      ""cost"": 50000,
      ""justification"": ""Cost-effective strategy for managing stormwater to reduce flooding.""
    },
    {
      ""option"": ""Freeboard Policy"",
      ""cost"": 50000,
      ""justification"": ""Enhancing floodplain ordinances to mitigate flooding.""
    },
    {
      ""option"": ""Current Buyouts"",
      ""cost"": 6802010,
      ""justification"": ""Acquiring flood-prone properties to eliminate risk.""
    },
    {
      ""option"": ""Add-On: Soccer-Small"",
      ""cost"": 40000,
      ""justification"": ""Creating recreational opportunities to enhance community resilience.""
    }
  ],
  ""Budget Spent"": {
    ""Traditional CIP Costs"": 2252400,
    ""Infiltration Policy"": 50000,
    ""Freeboard Policy"": 50000,
    ""Current Buyouts"": 6802010,
    ""Recreational Add-On (Soccer-Small)"": 40000,
    ""Total Budget Spent"": 2252400 + 50000 + 50000 + 6802010 + 40000 = 9098460
  },
  ""Budget Remaining"": {
    ""Total Initial Budget"": 15000000,
    ""Remaining Budget"": 15000000 - 9098460 = 5901540
  }
}"
Role5,"{
  ""Adaption options"": [
    {
      ""option"": ""Current Traditional CIP Costs"",
      ""cost"": 2252400,
      ""justification"": ""Widening the channel and reducing velocities in Martinez Creek to protect single-family homes from flooding.""
    },
    {
      ""option"": ""Infiltration Policy Cost"",
      ""cost"": 50000,
      ""justification"": ""Implementing a policy for stormwater management to enhance groundwater recharge.""
    },
    {
      ""option"": ""Freeboard Policy Cost"",
      ""cost"": 50000,
      ""justification"": ""Adopting a floodplain ordinance to protect structures in the floodplain.""
    },
    {
      ""option"": ""Current Buyouts"",
      ""cost"": 6802010,
      ""justification"": ""Buying out properties in the floodplain to reduce flood risk.""
    },
    {
      ""option"": ""Picnic Area"",
      ""cost"": 4000,
      ""justification"": ""Creating multi-use green space for recreation to improve community quality of life.""
    }
  ],
  ""Budget Spent"": {
    ""Current Traditional CIP Costs"": 2252400,
    ""Infiltration Policy Cost"": 50000,
    ""Freeboard Policy Cost"": 50000,
    ""Current Buyouts"": 6802010,
    ""Picnic Area"": 4000,
    ""Total Budget Spent"": 9053460
  },
  ""Budget Remaining"": {
    ""Total Budget"": 15000000,
    ""Budget Used"": 9053460,
    ""Remaining Budget"": 5946540
  }
}"
Role6,"{
  ""Adaption options"": [
    {
      ""option"": ""Current Traditional CIP"",
      ""cost"": 2252400,
      ""justification"": ""Channel modification to widen the channel and reduce velocities."",
      ""description"": ""Address flooding in the San Antonio River area, which frequently affects single-family homes.""
    },
    {
      ""option"": ""Infiltration Policy"",
      ""cost"": 50000,
      ""justification"": ""Encourages on-site stormwater management which could significantly improve flood resilience.""
    },
    {
      ""option"": ""Freeboard Policy"",
      ""cost"": 50000,
      ""justification"": ""Requires structures in the floodplain to be elevated, reducing flood risk.""
    },
    {
      ""option"": ""Current Buyouts"",
      ""cost"": 6802010,
      ""justification"": ""Buyouts will allow the purchase of properties in the floodplain to eliminate flood risk.""
    },
    {
      ""option"": ""Soccer—Small"",
      ""cost"": 40000,
      ""justification"": ""Adds recreational value and enhances community engagement in flood mitigation efforts.""
    }
  ],
  
  ""Budget Spent"": {
    ""CIP Costs"": 2252400,
    ""Infiltration Policy"": 50000,
    ""Freeboard Policy"": 50000,
    ""Current Buyouts"": 6802010,
    ""Recreational Add-On (Soccer—Small)"": 40000,
    ""Total Budget Used"": 9057460
  },
  
  ""Budget Remaining"": {
    ""Total Initial Budget"": 15000000,
    ""Remaining Budget"": 5942540,
    ""Breakdown"": {
      ""Remaining Budget Calculation"": ""15000000 - 9057460 = 5942540""
    }
  }
}"
Role7,"{
  ""Adaption options"": [
    {
      ""Option"": ""Current Traditional CIP Costs"",
      ""Cost"": ""$22,524,400"",
      ""Justification"": ""Channel modification to widen the channel and reduce velocities, removal and replacement of bridges.""
    },
    {
      ""Option"": ""Infiltration Policy Cost"",
      ""Cost"": ""$50,000"",
      ""Justification"": ""To enhance on-site stormwater management and reduce flooding.""
    },
    {
      ""Option"": ""Freeboard Policy Cost"",
      ""Cost"": ""$50,000"",
      ""Justification"": ""To require structures in the floodplain to have higher elevation.""
    },
    {
      ""Option"": ""Current Buyouts"",
      ""Cost"": ""$6,802,010"",
      ""Justification"": ""Buyouts of private properties within floodplains to reduce risk.""
    },
    {
      ""Option"": ""Shelter—Large"",
      ""Cost"": ""$100,000"",
      ""Justification"": ""To create community shelter and increase resilience in emergencies.""
    }
  ],
  ""Budget Spent"": {
    ""Total Costs Calculation"": {
      ""Traditional CIP Costs"": ""$22,524,400"",
      ""Infiltration Policy Cost"": ""$50,000"",
      ""Freeboard Policy Cost"": ""$50,000"",
      ""Current Buyouts"": ""$6,802,010"",
      ""Recreational Add-On (Shelter—Large)"": ""$100,000""
    },
    ""Total"": ""$22,524,400 + $50,000 + $50,000 + $6,802,010 + $100,000 = $29,526,410""
  },
  ""Budget Remaining"": {
    ""Calculation"": {
      ""Total Budget"": ""$15,000,000"",
      ""Budget Used"": ""$29,526,410"",
      ""Remaining Budget"": ""$15,000,000 - $29,526,410 = -$14,526,410""
    },
    ""Note"": ""The chosen options exceed the total budget available.""
  }
}"
Role8,"{
  ""Adaption options"": [
    {
      ""option"": ""Current Traditional CIP Costs"",
      ""cost"": 2252400,
      ""justification"": ""Widening the channel and reducing velocities in Martinez Creek to protect single-family homes from flooding.""
    },
    {
      ""option"": ""Infiltration Policy Cost"",
      ""cost"": 50000,
      ""justification"": ""Implementing a policy for stormwater management to enhance groundwater recharge.""
    },
    {
      ""option"": ""Freeboard Policy Cost"",
      ""cost"": 50000,
      ""justification"": ""Adopting a floodplain ordinance to protect structures in the floodplain.""
    },
    {
      ""option"": ""Current Buyouts"",
      ""cost"": 6802010,
      ""justification"": ""Buying out properties in the floodplain to reduce flood risk.""
    },
    {
      ""option"": ""Picnic Area"",
      ""cost"": 4000,
      ""justification"": ""Creating multi-use green space for recreation to improve community quality of life.""
    }
  ],
  ""Budget Spent"": {
    ""Current Traditional CIP Costs"": 2252400,
    ""Infiltration Policy Cost"": 50000,
    ""Freeboard Policy Cost"": 50000,
    ""Current Buyouts"": 6802010,
    ""Picnic Area"": 4000,
    ""Total Budget Spent"": 9053460
  },
  ""Budget Remaining"": {
    ""Total Budget"": 15000000,
    ""Budget Used"": 9053460,
    ""Remaining Budget"": 5946540
  }
}"
Role9,"{
  ""Adaption options"": [
    {
      ""option"": ""Current Traditional CIP Costs"",
      ""cost"": 2252400,
      ""justification"": ""Widening the channel and reducing velocities in Martinez Creek to protect single-family homes from flooding.""
    },
    {
      ""option"": ""Infiltration Policy Cost"",
      ""cost"": 50000,
      ""justification"": ""Implementing a policy for stormwater management to enhance groundwater recharge.""
    },
    {
      ""option"": ""Freeboard Policy Cost"",
      ""cost"": 50000,
      ""justification"": ""Adopting a floodplain ordinance to protect structures in the floodplain.""
    },
    {
      ""option"": ""Current Buyouts"",
      ""cost"": 6802010,
      ""justification"": ""Buying out properties in the floodplain to reduce flood risk.""
    },
    {
      ""option"": ""Picnic Area"",
      ""cost"": 4000,
      ""justification"": ""Creating multi-use green space for recreation to improve community quality of life.""
    }
  ],
  ""Budget Spent"": {
    ""Current Traditional CIP Costs"": 2252400,
    ""Infiltration Policy Cost"": 50000,
    ""Freeboard Policy Cost"": 50000,
    ""Current Buyouts"": 6802010,
    ""Picnic Area"": 4000,
    ""Total Budget Spent"": 9053460
  },
  ""Budget Remaining"": {
    ""Total Budget"": 15000000,
    ""Budget Used"": 9053460,
    ""Remaining Budget"": 5946540
  }
}"
Role10,"{
  ""Adaption options"": [
    {
      ""option"": ""Current Traditional CIP Costs"",
      ""cost"": 2252400,
      ""justification"": ""Widening the channel and reducing velocities in Martinez Creek to protect single-family homes from flooding.""
    },
    {
      ""option"": ""Infiltration Policy Cost"",
      ""cost"": 50000,
      ""justification"": ""Implementing a policy for stormwater management to enhance groundwater recharge.""
    },
    {
      ""option"": ""Freeboard Policy Cost"",
      ""cost"": 50000,
      ""justification"": ""Adopting a floodplain ordinance to protect structures in the floodplain.""
    },
    {
      ""option"": ""Current Buyouts"",
      ""cost"": 6802010,
      ""justification"": ""Buying out properties in the floodplain to reduce flood risk.""
    },
    {
      ""option"": ""Picnic Area"",
      ""cost"": 4000,
      ""justification"": ""Creating multi-use green space for recreation to improve community quality of life.""
    }
  ],
  ""Budget Spent"": {
    ""Current Traditional CIP Costs"": 2252400,
    ""Infiltration Policy Cost"": 50000,
    ""Freeboard Policy Cost"": 50000,
    ""Current Buyouts"": 6802010,
    ""Picnic Area"": 4000,
    ""Total Budget Spent"": 9053460
  },
  ""Budget Remaining"": {
    ""Total Budget"": 15000000,
    ""Budget Used"": 9053460,
    ""Remaining Budget"": 5946540
  }
}"
