Role,Age,Gender,Occupation,Personality Traits,Communication Style,Interests and Hobbies,Educational Background,Cultural Background,Language Proficiency,Technology Savviness,Preferred Communication Medium,Lifestyle,Values and Beliefs,Relationship Status,Economic Status,Health and Wellness,Time Availability,Problem-solving Approach,Capital improvement project,Infiltration policy,Freeboard policy,Buyouts,Future Buyout,Recreational investment,Shelter Small,Basketball Small,Football,Open Area Small,Shelter Medium,Soccer Small,Volleyball Small,Exercise Area Small,Picnic Area,Playground Large,Shelter Large,Soccer Large,Track,Trail Small,Amphitheater,Open Area Large,Playground Small,Soccer Medium,Softball/Baseball Small,Trail Medium,Trail Large
Role1,18,nondisclosed,Student,Extroverted,Empathetic,Video Games,High School,Middle Eastern,"English, Spanish, Mandarin",Intermediate,Voice,Sedentary,Christianity,Widowed,Low income,Health-conscious,Sporadic,Practical,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1
Role2,70,female,Retired,Traditional,Informal,Painting,Graduate Degree,Western,English,Novice,Mixed,Active,Environmentalism,Widowed,Low income,Average health,Sporadic,Creative,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Role3,59,nondisclosed,Retired,Traditional,Mixed,Soccer,Graduate Degree,Eastern,"English, Spanish, Mandarin",Intermediate,Voice,Active,Environmentalism,Divorced,Low income,Average health,Sporadic,Collaborative,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Role4,26,genderqueer,Engineer,Traditional,Humorous,Video Games,Graduate Degree,Eastern,English and Spanish,Novice,Video,Active,Christianity,Widowed,High income,Health-conscious,Full-time,Creative,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Role5,26,female,Student,Traditional,Informal,Video Games,Graduate Degree,Eastern,English and Spanish,Intermediate,Video,Sedentary,Christianity,In a relationship,Middle income,Health-conscious,Part-time,Practical,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
Role6,79,nondisclosed,Engineer,Extroverted,Mixed,Soccer,Graduate Degree,Latin American,English,Intermediate,Mixed,Active,Environmentalism,In a relationship,High income,Average health,Part-time,Collaborative,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
Role7,77,nondisclosed,Retired,Open to Experience,Humorous,Reading,Self-taught,Middle Eastern,English,Novice,Voice,Active,Environmentalism,Widowed,High income,Average health,Sporadic,Collaborative,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Role8,25,genderqueer,Unemployed,Open to Experience,Empathetic,Reading,Graduate Degree,Latin American,English and Spanish,Novice,Mixed,Sedentary,Traditional,Single,High income,Average health,Part-time,Collaborative,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
Role9,52,nondisclosed,Retired,Pessimistic,Empathetic,Soccer,High School,Latin American,English,Expert,Video,Sedentary,Environmentalism,In a relationship,High income,Average health,Part-time,Creative,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Role10,44,male,Unemployed,Extroverted,Informal,Painting,High School,Latin American,"English, Spanish, Mandarin",Expert,Text,Active,Traditional,Single,High income,Average health,Full-time,Creative,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1
