Role,Age,Gender,Occupation,Personality Traits,Communication Style,Interests and Hobbies,Educational Background,Cultural Background,Language Proficiency,Technology Savviness,Preferred Communication Medium,Lifestyle,Values and Beliefs,Relationship Status,Economic Status,Health and Wellness,Time Availability,Problem-solving Approach
Role1,18,nondisclosed,Student,Extroverted,Empathetic,Video Games,High School,Middle Eastern,"English, Spanish, Mandarin",Intermediate,Voice,Sedentary,Christianity,Widowed,Low income,Health-conscious,Sporadic,Practical
Role2,70,female,Retired,Traditional,Informal,Painting,Graduate Degree,Western,English,Novice,Mixed,Active,Environmentalism,Widowed,Low income,Average health,Sporadic,Creative
Role3,59,nondisclosed,Retired,Traditional,Mixed,Soccer,Graduate Degree,Eastern,"English, Spanish, Mandarin",Intermediate,Voice,Active,Environmentalism,Divorced,Low income,Average health,Sporadic,Collaborative
Role4,26,genderqueer,Engineer,Traditional,Humorous,Video Games,Graduate Degree,Eastern,English and Spanish,Novice,Video,Active,Christianity,Widowed,High income,Health-conscious,Full-time,Creative
Role5,26,female,Student,Traditional,Informal,Video Games,Graduate Degree,Eastern,English and Spanish,Intermediate,Video,Sedentary,Christianity,In a relationship,Middle income,Health-conscious,Part-time,Practical
Role6,79,nondisclosed,Engineer,Extroverted,Mixed,Soccer,Graduate Degree,Latin American,English,Intermediate,Mixed,Active,Environmentalism,In a relationship,High income,Average health,Part-time,Collaborative
Role7,77,nondisclosed,Retired,Open to Experience,Humorous,Reading,Self-taught,Middle Eastern,English,Novice,Voice,Active,Environmentalism,Widowed,High income,Average health,Sporadic,Collaborative
Role8,25,genderqueer,Unemployed,Open to Experience,Empathetic,Reading,Graduate Degree,Latin American,English and Spanish,Novice,Mixed,Sedentary,Traditional,Single,High income,Average health,Part-time,Collaborative
Role9,52,nondisclosed,Retired,Pessimistic,Empathetic,Soccer,High School,Latin American,English,Expert,Video,Sedentary,Environmentalism,In a relationship,High income,Average health,Part-time,Creative
Role10,44,male,Unemployed,Extroverted,Informal,Painting,High School,Latin American,"English, Spanish, Mandarin",Expert,Text,Active,Traditional,Single,High income,Average health,Full-time,Creative
Role11,60,male,Retired,Open to Experience,Mixed,Soccer,Self-taught,Latin American,English and Spanish,Intermediate,Video,Active,Environmentalism,Single,Middle income,Health-conscious,Part-time,Practical
Role12,28,nondisclosed,Engineer,Extroverted,Mixed,Reading,Self-taught,Eastern,English,Novice,Text,Active,Environmentalism,Widowed,Low income,Average health,Sporadic,Creative
Role13,23,nondisclosed,Unemployed,Open to Experience,Informal,Reading,High School,Latin American,English and Spanish,Expert,Voice,Active,Environmentalism,Widowed,Low income,Health-conscious,Full-time,Practical
Role14,69,nondisclosed,Engineer,Extroverted,Informal,Soccer,High School,Middle Eastern,English,Novice,Voice,Active,Traditional,Widowed,Middle income,Average health,Full-time,Collaborative
Role15,18,genderqueer,Engineer,Pessimistic,Humorous,Video Games,Graduate Degree,Western,English and Spanish,Expert,Mixed,Sedentary,Christianity,Single,High income,Health-conscious,Full-time,Practical
Role16,23,female,Unemployed,Extroverted,Mixed,Video Games,High School,Middle Eastern,"English, Spanish, Mandarin",Intermediate,Mixed,Sedentary,Christianity,Widowed,High income,Health-conscious,Sporadic,Creative
